date,sales,sales_log
2013-01-01,0.0,0.0
2013-01-02,7417.147999999999,8.911684709319907
2013-01-03,5873.244001,8.67833265005144
2013-01-04,5919.879001,8.686240196754651
2013-01-05,6318.78501,8.751440469157235
2013-01-06,2199.0869999999995,7.696252184019052
2013-01-07,6150.924,8.72452015740306
2013-01-08,5597.181,8.630197002528762
2013-01-09,6808.57899,8.826085574912362
2013-01-10,4757.714999999999,8.467732952797057
2013-01-11,5494.015979999999,8.611596774931764
2013-01-12,5467.782980000001,8.606811380716312
2013-01-13,2693.878004,7.8991082147860245
2013-01-14,5651.68501,8.639885934266644
2013-01-15,5204.174,8.557408409885133
2013-01-16,6733.596002,8.815013102190067
2013-01-17,4942.473999999999,8.50582360189178
2013-01-18,5923.124001,8.68678810714026
2013-01-19,5895.146000000001,8.682054196113468
2013-01-20,2371.133995,7.771545248825641
2013-01-21,5227.602019999999,8.5618992211367
2013-01-22,5298.986,8.575459458027291
2013-01-23,6259.346,8.741990734132223
2013-01-24,4861.524,8.48931292364717
2013-01-25,5577.701,8.626711232575307
2013-01-26,5290.32701,8.57382434594609
2013-01-27,2439.3779999999997,7.7999082243214755
2013-01-28,4976.808000000001,8.512744912476998
2013-01-29,4681.511000499999,8.451589783594715
2013-01-30,6118.887,8.719298911283621
2013-01-31,4712.576999999999,8.458202346758782
2013-02-01,5782.779000000001,8.662812554256618
2013-02-02,5706.9190100000005,8.64960978963832
2013-02-03,2267.9829999999997,7.727086992464423
2013-02-04,5574.040999999999,8.626054950561366
2013-02-05,5080.786000000001,8.533418053587738
2013-02-06,6107.432001,8.717425390916722
2013-02-07,4452.242995,8.40138787266288
2013-02-08,5593.812,8.629595018751637
2013-02-09,4435.572,8.397637285153058
2013-02-10,1199.1350000000002,7.0901893294484415
2013-02-11,1344.749998,7.2047067559549065
2013-02-12,1852.0150099999998,7.524569326630318
2013-02-13,6121.725,8.719762537844822
2013-02-14,4999.187999,8.517230790509382
2013-02-15,5387.78798,8.592075774053209
2013-02-16,5625.384999999999,8.635222418987127
2013-02-17,1747.0810099999997,7.466273899535205
2013-02-18,5343.779020000001,8.583875479292981
2013-02-19,5229.718,8.562303832531097
2013-02-20,6024.07,8.703684376548626
2013-02-21,5325.731000000001,8.58049300817622
2013-02-22,5781.510002000001,8.662593123805785
2013-02-23,5426.989018,8.599323997739743
2013-02-24,2295.712,7.739233813896602
2013-02-25,5333.274984,8.581908256469015
2013-02-26,4710.27898,8.457714695796176
2013-02-27,6054.942997000001,8.708795382424373
2013-02-28,5009.692009999999,8.51932931028893
2013-03-01,5940.5560000000005,8.689726330914983
2013-03-02,5817.466999,8.668792103795345
2013-03-03,2436.8269999999998,7.798862347720333
2013-03-04,6094.491999,8.715304760396679
2013-03-05,4968.634010000001,8.511101476540095
2013-03-06,6845.538,8.83149840203805
2013-03-07,5199.071000000002,8.55642755832246
2013-03-08,6010.675998000001,8.701458856872373
2013-03-09,5665.5109999999995,8.642328863404684
2013-03-10,2601.404,7.86419091220069
2013-03-11,5504.89798,8.613575156653303
2013-03-12,4965.084999999999,8.51038708231309
2013-03-13,6077.77601,8.712558640549064
2013-03-14,4557.174,8.424677383714995
2013-03-15,5638.477999999999,8.637546787017303
2013-03-16,5799.479,8.665695779331354
2013-03-17,2258.610998,7.722947952672401
2013-03-18,5161.345,8.549146212605477
2013-03-19,4942.25201,8.505778695215938
2013-03-20,6195.921999999999,8.731807996147376
2013-03-21,5097.209,8.536644580564932
2013-03-22,5795.069,8.664935208131617
2013-03-23,5518.596000000001,8.616059948186942
2013-03-24,2056.8799999999997,7.629431605656056
2013-03-25,5233.412989999999,8.563009985212238
2013-03-26,4812.276,8.479133212350426
2013-03-27,6387.455,8.76224773409955
2013-03-28,5686.706,8.646062282383506
2013-03-29,2001.729,7.602266029457928
2013-03-30,4353.33,8.378926031297224
2013-03-31,2042.369,7.6223551952484705
2013-04-01,6144.880999999999,8.723537380316191
2013-04-02,5774.184998999999,8.661325569335776
2013-04-03,7074.9529999999995,8.864457413086898
2013-04-04,4896.4980000000005,8.496479741446993
2013-04-05,6304.927,8.749245263761438
2013-04-06,5594.088,8.629644348951201
2013-04-07,2363.7399994999996,7.768423358096072
2013-04-08,5378.18,8.5902912251824
2013-04-09,4803.334964,8.47727390683074
2013-04-10,6835.486999999999,8.830029282189514
2013-04-11,4701.459,8.455840842370563
2013-04-12,6212.33,8.734452263090642
2013-04-13,5493.952000000001,8.61158513158574
2013-04-14,2209.921008,7.701164453398785
2013-04-15,5462.558,8.605855504860006
