date,trend,seasonal_7,seasonal_30,seasonal_91,seasonal_365,resid
2013-01-01,8.320193126023456,0.01819801665818304,0.0693290835894303,0.09549527275849704,-9.717199169862603,1.2139836708330378
2013-01-02,8.320909206892996,0.30528802926155496,0.11369761386781262,0.03285290051843437,0.14990264042401533,-0.010965681644904635
2013-01-03,8.321625367809007,-0.05205563844146621,0.11294583731048967,-0.008194212784009228,0.3007329573241553,0.0032783388332617847
2013-01-04,8.322341608967264,0.18239954135717085,0.013871329651529464,0.20567963465919534,-0.07988581705375246,0.04183389917324476
2013-01-05,8.323057930561422,0.21688670270968394,0.08384135518962149,0.015158264482082556,0.07966048216694571,0.03283573404747919
2013-01-06,8.32377433277788,-0.761829770928622,0.02351078730770221,0.03523723893484551,0.06149836933856538,0.014061226588681919
2013-01-07,8.32449081579549,0.08681622731313733,0.047083847914398284,0.06294235834872945,0.2353972559823208,-0.03221034795101829
2013-01-08,8.325207379791356,0.026737879682054315,-0.008800419132472988,0.028477436689500167,0.3095094161072886,-0.050934690608963606
2013-01-09,8.325924024948902,0.30075548836078114,-0.017071984689020974,0.07884687945088743,0.1736954902013555,-0.03606432336054333
2013-01-10,8.32664075146168,-0.03743384151077992,-0.0651162435367148,0.06872336097858558,0.2163710060660064,-0.041452080661722235
2013-01-11,8.32735755953241,0.1784307053535179,-0.03180256167379731,0.06377138961915514,0.04059603352148352,0.033243648578993756
2013-01-12,8.328074449370025,0.19508014720168548,-0.05980324966196501,-0.03525913556067226,0.17235778743148836,0.006361381935748867
2013-01-13,8.328791421179869,-0.766044836713468,0.0076403159192567766,-0.037460738619757794,0.403742015150071,-0.037559962129947166
2013-01-14,8.329508475166561,0.09780543380028668,-0.03910831350439709,0.05305262354979679,0.2471396319366717,-0.048511916682278056
2013-01-15,8.330225611541685,0.03443905574687118,0.023875788923696302,0.036279220950990225,0.09942129564507542,0.033167437076814466
2013-01-16,8.330942830524505,0.29697803835112196,-0.0005824809061254835,-0.01455624165424595,0.24931772680640724,-0.04708677093159608
2013-01-17,8.331660132332518,-0.022552776598736654,-0.015915762794577522,0.046289971027100585,0.19992922778720362,-0.03358718986172704
2013-01-18,8.332377517190428,0.1748616972895714,-0.04701707668887954,0.06834018565452969,0.14710661803849753,0.011119165656111818
2013-01-19,8.333094985328907,0.17401956334779464,-0.027975472969504922,0.03059799072718982,0.1351901078307315,0.037127021848350594
2013-01-20,8.333812536977263,-0.770025793959612,0.022440147435583993,0.013016205363536131,0.20244796122037353,-0.030145808211504033
